,0,Missclassifications,Error
a2,328,137,29.462365591397848
a3,316,149,32.043010752688176
a4,292,173,37.204301075268816
a23,365,100,21.50537634408602
a24,349,116,24.946236559139784
a34,325,140,30.107526881720432
a234,366,99,21.29032258064516
r2,388,77,16.559139784946236
r3,388,77,16.559139784946236
r4,368,97,20.86021505376344
r23,393,72,15.483870967741936
r24,395,70,15.053763440860216
r34,388,77,16.559139784946236
r234,397,68,14.623655913978494
r2_a2,397,68,14.623655913978494
r2_a23,400,65,13.978494623655914
r2_a24,400,65,13.978494623655914
r2_a234,401,64,13.763440860215054
r23_a2,398,67,14.408602150537634
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
