,0,Missclassifications,Error
a2,328,137,29.462365591397848
a3,316,149,32.043010752688176
a4,290,175,37.634408602150536
a23,365,100,21.50537634408602
a24,355,110,23.655913978494624
a34,324,141,30.322580645161292
a234,373,92,19.78494623655914
r2,388,77,16.559139784946236
r3,388,77,16.559139784946236
r4,368,97,20.86021505376344
r23,393,72,15.483870967741936
r24,395,70,15.053763440860216
r34,388,77,16.559139784946236
r234,397,68,14.623655913978494
r2_a2,396,69,14.838709677419356
r2_a23,401,64,13.763440860215054
r2_a24,401,64,13.763440860215054
r2_a234,401,64,13.763440860215054
r23_a2,397,68,14.623655913978494
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
