,0,Missclassifications,Error
a2,320,100,23.809523809523807
a3,314,106,25.238095238095237
a4,277,143,34.047619047619044
a23,358,62,14.761904761904761
a24,344,76,18.095238095238095
a34,328,92,21.904761904761905
a234,368,52,12.38095238095238
r2,389,31,7.3809523809523805
r3,387,33,7.857142857142857
r4,368,52,12.38095238095238
r23,394,26,6.19047619047619
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,398,22,5.238095238095238
r2_a2,397,23,5.476190476190476
r2_a23,397,23,5.476190476190476
r2_a24,398,22,5.238095238095238
r2_a234,397,23,5.476190476190476
r23_a2,399,21,5.0
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
