,0,Missclassifications,Error
a2,327,93,22.142857142857142
a3,320,100,23.809523809523807
a4,275,145,34.52380952380952
a23,356,64,15.238095238095237
a24,345,75,17.857142857142858
a34,331,89,21.19047619047619
a234,368,52,12.38095238095238
r2,389,31,7.3809523809523805
r3,388,32,7.619047619047619
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,398,22,5.238095238095238
r2_a2,396,24,5.7142857142857135
r2_a23,399,21,5.0
r2_a24,400,20,4.761904761904762
r2_a234,400,20,4.761904761904762
r23_a2,397,23,5.476190476190476
r23_a23,400,20,4.761904761904762
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
