,0,Missclassifications,Error
a2,324,96,22.857142857142854
a3,321,99,23.57142857142857
a4,284,136,32.38095238095238
a23,362,58,13.809523809523808
a24,351,69,16.428571428571427
a34,341,79,18.80952380952381
a234,377,43,10.238095238095237
r2,389,31,7.3809523809523805
r3,388,32,7.619047619047619
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,396,24,5.7142857142857135
r2_a2,397,23,5.476190476190476
r2_a23,399,21,5.0
r2_a24,399,21,5.0
r2_a234,399,21,5.0
r23_a2,397,23,5.476190476190476
r23_a23,400,20,4.761904761904762
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
